test_label,technology,data_channel_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
load_http-post-long-polling,http-post,,500,10,run1,sent_messages_per_second,284,4995.661971830986,5000.0,106.3142144227398,3717,5776,5035.0,5214.580000000001,10.25
load_http-post-long-polling,http-post,,500,10,run2,sent_messages_per_second,284,4999.978873239436,5000.0,16.65699199950301,4810,5189,5007.0,5009.51,6.0
load_http-post-long-polling,http-post,,500,10,run3,sent_messages_per_second,284,4999.978873239436,5000.0,18.596693467205494,4795,5204,5008.0,5016.68,7.25
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run1,sent_messages_per_second,284,5000.007042253521,5000.0,44.14023532175259,4516,5491,5006.0,5035.02,2.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run2,sent_messages_per_second,284,5000.0,5000.0,0.5043976220510382,4994,5006,5000.0,5000.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run3,sent_messages_per_second,283,5000.0,5000.0,5.311569067370472,4957,5045,5002.0,5018.9,2.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run1,sent_messages_per_second,284,4999.9647887323945,5000.0,41.15924636626995,4614,5386,5026.95,5071.6900000000005,4.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run2,sent_messages_per_second,283,5000.0,5000.0,2.200902458357861,4976,5024,5002.0,5002.18,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run3,sent_messages_per_second,284,4999.985915492958,5000.0,11.526271062256317,4954,5045,5019.85,5035.0,6.0
load_websocket,websocket,,500,10,run1,sent_messages_per_second,284,4385.693661971831,4997.0,1217.209826179975,874,5008,5005.0,5006.34,377.25
load_websocket,websocket,,500,10,run2,sent_messages_per_second,284,4999.9964788732395,5000.0,6.455336215080415,4984,5020,5010.0,5015.17,9.25
load_websocket,websocket,,500,10,run3,sent_messages_per_second,284,5000.010563380281,5000.0,3.752487189253201,4985,5012,5006.0,5009.0,4.0
load_http-post-long-polling,http-post,,500,10,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,500,10,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,500,10,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run3,errors_per_second,283,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run2,errors_per_second,283,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_websocket,websocket,,500,10,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_websocket,websocket,,500,10,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_websocket,websocket,,500,10,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,500,10,run1,clock_offset_ms,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_http-post-long-polling,http-post,,500,10,run2,clock_offset_ms,284,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
load_http-post-long-polling,http-post,,500,10,run3,clock_offset_ms,284,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run1,clock_offset_ms,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run2,clock_offset_ms,284,-1.0,-1.0,0.0,-1,-1,-1.0,-1.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,10,run3,clock_offset_ms,283,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run1,clock_offset_ms,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run2,clock_offset_ms,283,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,10,run3,clock_offset_ms,284,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
load_websocket,websocket,,500,10,run1,clock_offset_ms,284,-1.0,-1.0,0.0,-1,-1,-1.0,-1.0,0.0
load_websocket,websocket,,500,10,run2,clock_offset_ms,284,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
load_websocket,websocket,,500,10,run3,clock_offset_ms,284,-2.0,-2.0,0.0,-2,-2,-2.0,-2.0,0.0
