test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
ingestion_http-post-long-polling_500clients_10hz_run1,http-post,,long-polling,500,10,run1,latency_ms,759123,2.497941703781864,1.0,4.849785733754877,0.0,158.0,10.0,23.0,3.0
ingestion_http-post-long-polling_500clients_10hz_run1,http-post,,long-polling,500,10,run1,jitter_ms,1498210,2.4248750175209084,1.0,4.086398434144686,0.0,157.0,9.0,19.0,3.0
ingestion_http-post-long-polling_500clients_10hz_run2,http-post,,long-polling,500,10,run2,latency_ms,1202075,0.20819416425763784,0.0,0.6765168570282727,0.0,33.0,1.0,2.0,0.0
ingestion_http-post-long-polling_500clients_10hz_run2,http-post,,long-polling,500,10,run2,jitter_ms,1499470,0.5910855168826319,0.0,0.882134624592904,0.0,33.0,2.0,3.0,1.0
ingestion_http-post-long-polling_500clients_10hz_run3,http-post,,long-polling,500,10,run3,latency_ms,1348414,0.23952435972928196,0.0,0.7050820091720845,0.0,31.0,1.0,2.0,0.0
ingestion_http-post-long-polling_500clients_10hz_run3,http-post,,long-polling,500,10,run3,jitter_ms,1499481,0.530788986322601,0.0,0.9025070080251304,0.0,31.0,2.0,3.0,1.0
ingestion_webrtc-reliable-ordered_500clients_10hz_run1,webrtc,reliable-ordered,webrtc,500,10,run1,latency_ms,1489994,5.033691410837896,1.0,20.695134186586593,0.0,553.0,22.0,91.0,2.0
ingestion_webrtc-reliable-ordered_500clients_10hz_run1,webrtc,reliable-ordered,webrtc,500,10,run1,jitter_ms,1491072,5.793673947334535,1.0,19.04463784393501,0.0,553.0,36.0,92.0,2.0
ingestion_webrtc-reliable-ordered_500clients_10hz_run2,webrtc,reliable-ordered,webrtc,500,10,run2,latency_ms,1217159,2.806125576034027,1.0,8.415262636517229,0.0,176.0,9.0,50.0,3.0
ingestion_webrtc-reliable-ordered_500clients_10hz_run2,webrtc,reliable-ordered,webrtc,500,10,run2,jitter_ms,1492184,3.5200236700031633,1.0,9.107903395122445,0.0,175.0,11.0,56.0,2.0
ingestion_webrtc-reliable-ordered_500clients_10hz_run3,webrtc,reliable-ordered,webrtc,500,10,run3,latency_ms,1491370,1.7730529647237103,1.0,7.432990162325858,0.0,224.0,3.0,41.0,1.0
ingestion_webrtc-reliable-ordered_500clients_10hz_run3,webrtc,reliable-ordered,webrtc,500,10,run3,jitter_ms,1492262,2.508001275915355,1.0,9.01516898772372,0.0,221.0,7.0,54.0,1.0
ingestion_webrtc-unreliable-unordered_500clients_10hz_run1,webrtc,unreliable-unordered,webrtc,500,10,run1,latency_ms,702622,6.391691407328549,1.0,17.24625064430637,0.0,244.0,39.0,92.0,3.0
ingestion_webrtc-unreliable-unordered_500clients_10hz_run1,webrtc,unreliable-unordered,webrtc,500,10,run1,jitter_ms,1491708,4.5844133034079055,1.0,13.728041012868214,0.0,243.0,27.0,75.0,2.0
ingestion_webrtc-unreliable-unordered_500clients_10hz_run2,webrtc,unreliable-unordered,webrtc,500,10,run2,latency_ms,1313303,1.492915191696052,0.0,6.685968288316763,0.0,140.0,4.0,40.0,1.0
ingestion_webrtc-unreliable-unordered_500clients_10hz_run2,webrtc,unreliable-unordered,webrtc,500,10,run2,jitter_ms,1492295,2.443608669867553,1.0,8.24803451430784,0.0,136.0,7.0,49.0,1.0
ingestion_webrtc-unreliable-unordered_500clients_10hz_run3,webrtc,unreliable-unordered,webrtc,500,10,run3,latency_ms,1472657,1.816038629497568,1.0,6.802762614434453,0.0,125.0,4.0,40.0,1.0
ingestion_webrtc-unreliable-unordered_500clients_10hz_run3,webrtc,unreliable-unordered,webrtc,500,10,run3,jitter_ms,1491715,2.62597211933915,1.0,8.538119774689351,0.0,124.0,8.0,53.0,2.0
ingestion_websocket_500clients_10hz_run1,websocket,,websocket,500,10,run1,latency_ms,1306443,169038.24675473786,181270.0,92810.2159164221,0.0,340717.0,300945.0,318692.16000000015,158849.0
ingestion_websocket_500clients_10hz_run1,websocket,,websocket,500,10,run1,jitter_ms,1306443,246.77516049303338,100.0,819.7725599379417,0.0,177512.0,802.0,1542.0,160.0
ingestion_websocket_500clients_10hz_run2,websocket,,websocket,500,10,run2,latency_ms,1169810,0.32704028859387424,0.0,1.2459555324624303,0.0,77.0,2.0,3.0,0.0
ingestion_websocket_500clients_10hz_run2,websocket,,websocket,500,10,run2,jitter_ms,1499355,0.7410039650382998,1.0,1.374006168248497,0.0,78.0,2.0,3.0,1.0
ingestion_websocket_500clients_10hz_run3,websocket,,websocket,500,10,run3,latency_ms,1436958,0.3735738970798033,0.0,1.183107729960942,0.0,78.0,2.0,2.0,1.0
ingestion_websocket_500clients_10hz_run3,websocket,,websocket,500,10,run3,jitter_ms,1499412,0.6100137920731593,0.0,1.363587604941677,0.0,78.0,2.0,3.0,1.0
