test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
server_process_http-post-long-polling,http-post,,long-polling,500,10,run1,cpu_percent_process,337,130.64305637982196,138.71,33.01484280880749,0.79,175.75,156.772,164.6876,10.189999999999998
server_process_http-post-long-polling,http-post,,long-polling,500,10,run2,cpu_percent_process,356,57.843764044943825,67.07,25.30884100696826,0.02,84.46,75.8575,80.19649999999999,4.364999999999995
server_process_http-post-long-polling,http-post,,long-polling,500,10,run3,cpu_percent_process,376,55.32853723404255,67.89500000000001,27.93297589089419,0.03,84.2,75.4325,77.7525,4.75
server_process_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,cpu_percent_process,908,32.59821585903084,0.07,50.26882824330057,0.02,190.41,156.971,174.27489999999995,73.2625
server_process_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run2,cpu_percent_process,1000,21.74238,0.06,33.74040020719584,0.02,109.29,83.75749999999996,94.63439999999999,62.472500000000004
server_process_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run3,cpu_percent_process,888,25.897759009009008,0.07,36.58969904265475,0.02,196.37,85.4635,93.59469999999999,67.915
server_process_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,cpu_percent_process,599,45.94150250417362,63.94,50.82686101937822,0.01,194.36,160.48000000000002,169.7344,78.25
server_process_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run2,cpu_percent_process,406,55.95371921182266,71.11,34.15673354738616,0.02,153.75,88.4075,94.196,74.14250000000001
server_process_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run3,cpu_percent_process,435,52.75993103448276,72.81,36.32779784239863,0.02,104.12,90.477,95.35739999999998,75.045
server_process_websocket,websocket,,websocket,500,10,run1,cpu_percent_process,677,34.48121122599704,36.4,17.64143225372346,0.02,89.66,60.206,69.50120000000003,19.1
