test_label,scenario_clients,hz,run_id,mean,median,p95,max,resource_metric
server_process_http-post-long-polling,500,10,run1,130.64305637982196,138.71,156.772,175.75,cpu_percent_process
server_process_http-post-long-polling,500,10,run2,57.84376404494383,67.07,75.8575,84.46,cpu_percent_process
server_process_http-post-long-polling,500,10,run3,55.32853723404255,67.89500000000001,75.4325,84.2,cpu_percent_process
server_process_webrtc-reliable-ordered,500,10,run1,32.59821585903084,0.07,156.971,190.41,cpu_percent_process
server_process_webrtc-reliable-ordered,500,10,run2,21.74238,0.06,83.75749999999996,109.29,cpu_percent_process
server_process_webrtc-reliable-ordered,500,10,run3,25.897759009009008,0.07,85.4635,196.37,cpu_percent_process
server_process_webrtc-unreliable-unordered,500,10,run1,45.94150250417362,63.94,160.48000000000002,194.36,cpu_percent_process
server_process_webrtc-unreliable-unordered,500,10,run2,55.95371921182266,71.11,88.4075,153.75,cpu_percent_process
server_process_webrtc-unreliable-unordered,500,10,run3,52.75993103448276,72.81,90.477,104.12,cpu_percent_process
server_process_websocket,500,10,run1,34.48121122599704,36.4,60.206,89.66,cpu_percent_process
server_process_websocket,500,10,run2,30.64798449612403,40.16,46.438,63.17,cpu_percent_process
server_process_websocket,500,10,run3,31.16038961038961,40.69,46.51,63.28,cpu_percent_process
server_process_http-post-long-polling,500,10,run1,443.4318694362018,474.8,734.78,734.78,ram_mb_process
server_process_http-post-long-polling,500,10,run2,460.27567415730334,480.65,735.77,735.77,ram_mb_process
server_process_http-post-long-polling,500,10,run3,468.3467287234042,480.79,736.29,736.29,ram_mb_process
server_process_webrtc-reliable-ordered,500,10,run1,731.3123678414097,816.21,816.21,816.21,ram_mb_process
server_process_webrtc-reliable-ordered,500,10,run2,742.91646,807.69,807.69,807.69,ram_mb_process
server_process_webrtc-reliable-ordered,500,10,run3,733.2992792792793,816.02,816.02,816.02,ram_mb_process
server_process_webrtc-unreliable-unordered,500,10,run1,705.6963939899832,830.06,830.06,830.06,ram_mb_process
server_process_webrtc-unreliable-unordered,500,10,run2,631.0936945812808,708.48,806.85,806.85,ram_mb_process
server_process_webrtc-unreliable-unordered,500,10,run3,667.1211264367817,717.88,823.95,823.95,ram_mb_process
server_process_websocket,500,10,run1,392.00341211226,392.92,728.13,728.13,ram_mb_process
server_process_websocket,500,10,run2,479.1391731266149,483.65,737.41,737.41,ram_mb_process
server_process_websocket,500,10,run3,479.8124675324675,483.64,737.37,737.37,ram_mb_process
