timestamp_ms,technology,data_channel_mode,scenario_clients,hz,run_id,sent_messages_total,sent_messages_per_second,errors_total,errors_per_second,clock_offset_ms,file,test_label,scenario_clients_from_file,hz_from_file,run_id_from_file,expected_messages_5m,delivery_ratio_client_sent_vs_expected
1785232875642,http-post,,1,1,run1,298,1,0,0,-2,client_load_http-post-long-polling_1clients_1hz_run1.csv,load_http-post-long-polling,1,1,run1,300,0.9933333333333333
1785233362798,http-post,,100,1,run1,29800,100,0,0,-1,client_load_http-post-long-polling_100clients_1hz_run1.csv,load_http-post-long-polling,100,1,run1,30000,0.9933333333333333
1785233698598,http-post,,500,1,run1,149001,503,0,0,-2,client_load_http-post-long-polling_500clients_1hz_run1.csv,load_http-post-long-polling,500,1,run1,150000,0.99334
1785234061857,websocket,,1,1,run1,299,1,0,0,-2,client_load_websocket_1clients_1hz_run1.csv,load_websocket,1,1,run1,300,0.9966666666666667
1785234377221,websocket,,100,1,run1,29197,97,3,0,-1,client_load_websocket_100clients_1hz_run1.csv,load_websocket,100,1,run1,30000,0.9732333333333333
1785235093861,webrtc,reliable-ordered,1,1,run1,298,1,0,0,-1,client_load_webrtc-reliable-ordered_1clients_1hz_run1.csv,load_webrtc-reliable-ordered,1,1,run1,300,0.9933333333333333
1785235415956,webrtc,reliable-ordered,100,1,run1,29798,100,0,0,-2,client_load_webrtc-reliable-ordered_100clients_1hz_run1.csv,load_webrtc-reliable-ordered,100,1,run1,30000,0.9932666666666666
1785235745623,webrtc,reliable-ordered,500,1,run1,148207,500,0,0,-2,client_load_webrtc-reliable-ordered_500clients_1hz_run1.csv,load_webrtc-reliable-ordered,500,1,run1,150000,0.9880466666666666
1785236169240,webrtc,unreliable-unordered,1,1,run1,298,1,0,0,-2,client_load_webrtc-unreliable-unordered_1clients_1hz_run1.csv,load_webrtc-unreliable-unordered,1,1,run1,300,0.9933333333333333
1785236498817,webrtc,unreliable-unordered,100,1,run1,29899,100,0,0,-2,client_load_webrtc-unreliable-unordered_100clients_1hz_run1.csv,load_webrtc-unreliable-unordered,100,1,run1,30000,0.9966333333333334
1785236820147,webrtc,unreliable-unordered,500,1,run1,148540,500,0,0,-1,client_load_webrtc-unreliable-unordered_500clients_1hz_run1.csv,load_webrtc-unreliable-unordered,500,1,run1,150000,0.9902666666666666
1785322325637,websocket,,500,1,run1_ws500_retry5,148998,501,0,0,1,client_load_websocket_500clients_1hz_run1.csv,load_websocket,500,1,run1,150000,0.99332
1785322806088,http-post,,1,1,run2,299,1,0,0,2,client_load_http-post-long-polling_1clients_1hz_run2.csv,load_http-post-long-polling,1,1,run2,300,0.9966666666666667
1785323224646,http-post,,100,1,run2,29800,100,0,0,2,client_load_http-post-long-polling_100clients_1hz_run2.csv,load_http-post-long-polling,100,1,run2,30000,0.9933333333333333
1785323545800,http-post,,500,1,run2,149497,500,0,0,2,client_load_http-post-long-polling_500clients_1hz_run2.csv,load_http-post-long-polling,500,1,run2,150000,0.9966466666666667
1785323881998,websocket,,1,1,run2,298,1,0,0,2,client_load_websocket_1clients_1hz_run2.csv,load_websocket,1,1,run2,300,0.9933333333333333
1785324206728,websocket,,100,1,run2,29800,100,0,0,1,client_load_websocket_100clients_1hz_run2.csv,load_websocket,100,1,run2,30000,0.9933333333333333
1785324526864,websocket,,500,1,run2,148998,499,0,0,2,client_load_websocket_500clients_1hz_run2.csv,load_websocket,500,1,run2,150000,0.99332
1785324942852,webrtc,reliable-ordered,1,1,run2,299,1,0,0,1,client_load_webrtc-reliable-ordered_1clients_1hz_run2.csv,load_webrtc-reliable-ordered,1,1,run2,300,0.9966666666666667
1785325343642,webrtc,reliable-ordered,100,1,run2,29799,100,0,0,1,client_load_webrtc-reliable-ordered_100clients_1hz_run2.csv,load_webrtc-reliable-ordered,100,1,run2,30000,0.9933
1785325887972,webrtc,reliable-ordered,500,1,run2,148666,500,0,0,2,client_load_webrtc-reliable-ordered_500clients_1hz_run2.csv,load_webrtc-reliable-ordered,500,1,run2,150000,0.9911066666666667
1785326225008,webrtc,unreliable-unordered,1,1,run2,298,1,0,0,1,client_load_webrtc-unreliable-unordered_1clients_1hz_run2.csv,load_webrtc-unreliable-unordered,1,1,run2,300,0.9933333333333333
1785326543773,webrtc,unreliable-unordered,100,1,run2,29800,100,0,0,1,client_load_webrtc-unreliable-unordered_100clients_1hz_run2.csv,load_webrtc-unreliable-unordered,100,1,run2,30000,0.9933333333333333
1785326866737,webrtc,unreliable-unordered,500,1,run2,149224,501,0,0,1,client_load_webrtc-unreliable-unordered_500clients_1hz_run2.csv,load_webrtc-unreliable-unordered,500,1,run2,150000,0.9948266666666666
1785911367302,http-post,,1,1,run3,298,1,0,0,-2,client_load_http-post-long-polling_1clients_1hz_run3.csv,load_http-post-long-polling,1,1,run3,300,0.9933333333333333
1785911937804,http-post,,100,1,run3,29900,100,0,0,2,client_load_http-post-long-polling_100clients_1hz_run3.csv,load_http-post-long-polling,100,1,run3,30000,0.9966666666666667
1785912322476,http-post,,500,1,run3,149497,500,0,0,2,client_load_http-post-long-polling_500clients_1hz_run3.csv,load_http-post-long-polling,500,1,run3,150000,0.9966466666666667
1785912928216,websocket,,1,1,run3,298,1,0,0,2,client_load_websocket_1clients_1hz_run3.csv,load_websocket,1,1,run3,300,0.9933333333333333
1785913334854,websocket,,100,1,run3,29800,100,0,0,2,client_load_websocket_100clients_1hz_run3.csv,load_websocket,100,1,run3,30000,0.9933333333333333
1785913666451,websocket,,500,1,run3,148998,500,0,0,2,client_load_websocket_500clients_1hz_run3.csv,load_websocket,500,1,run3,150000,0.99332
1785914144996,webrtc,reliable-ordered,1,1,run3,299,1,0,0,2,client_load_webrtc-reliable-ordered_1clients_1hz_run3.csv,load_webrtc-reliable-ordered,1,1,run3,300,0.9966666666666667
