test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
ingestion_http-post-long-polling,http-post,,long-polling,1,1,run1,latency_ms,283,1.0636042402826855,1.0,0.44901438032742497,0,2,2.0,2.0,0.0
ingestion_http-post-long-polling,http-post,,long-polling,1,1,run2,latency_ms,128,0.0,0.0,0.0,0,0,0.0,0.0,0.0
ingestion_http-post-long-polling,http-post,,long-polling,1,1,run3,latency_ms,284,3.4507042253521125,4.0,0.9916789118216112,1,5,5.0,5.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,100,1,run1,latency_ms,26813,0.15018834147614962,0.0,0.47345592013674287,0,36,1.0,1.0,0.0
ingestion_http-post-long-polling,http-post,,long-polling,100,1,run2,latency_ms,19501,0.04199784626429414,0.0,0.21202367597711377,0,5,0.0,1.0,0.0
ingestion_http-post-long-polling,http-post,,long-polling,100,1,run3,latency_ms,19918,0.03499347324028517,0.0,0.2088335821592912,0,7,0.0,1.0,0.0
ingestion_http-post-long-polling,http-post,,long-polling,500,1,run1,latency_ms,142000,0.9227464788732395,1.0,1.926794465255461,0,194,1.0,5.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,500,1,run2,latency_ms,139773,0.20976154192869867,0.0,0.5066947374277269,0,33,1.0,2.0,0.0
ingestion_http-post-long-polling,http-post,,long-polling,500,1,run3,latency_ms,89115,0.0504965494024575,0.0,0.2979827881519284,0,16,0.0,1.0,0.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run1,latency_ms,187,0.13368983957219252,0.0,1.0916539538224603,0,11,0.0,2.259999999999877,0.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run2,latency_ms,284,0.9436619718309859,1.0,0.5219513250165743,0,2,2.0,2.0,0.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run3,latency_ms,256,0.1328125,0.0,0.34003676271838623,0,1,1.0,1.0,0.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run1,latency_ms,28395,0.3614016552209896,0.0,0.6846945719320484,0,14,1.0,1.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run2,latency_ms,28398,0.5059159095710966,0.0,0.5176909098368376,0,6,1.0,1.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run3,latency_ms,16748,0.02239073322187724,0.0,0.17254768636204784,0,8,0.0,1.0,0.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run1,latency_ms,141736,0.9124992944629452,0.0,3.7449999038003825,0,108,2.0,12.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run2,latency_ms,68481,1.198463807479447,0.0,4.7975663101088255,0,84,3.0,28.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run3,latency_ms,108229,2.512856997662364,0.0,7.495016490868684,0,122,10.0,43.0,2.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run1,latency_ms,284,0.5950704225352113,1.0,0.49887895028481277,0,2,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run2,latency_ms,263,0.057034220532319393,0.0,0.23235014617498945,0,1,1.0,1.0,0.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run3,latency_ms,282,0.6418439716312057,1.0,0.4876636184400128,0,2,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run1,latency_ms,28398,0.6116980069018945,1.0,0.6268738903976957,0,40,1.0,2.0,1.0
