test_label,scenario_clients,hz,run_id,count,mean,median,std,iqr,p95,p99,min,max
ingestion_http-post-long-polling,1,1,run1,283,1.0636042402826855,1.0,0.4490143803274249,0.0,2.0,2.0,0,2
ingestion_http-post-long-polling,1,1,run2,128,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ingestion_http-post-long-polling,1,1,run3,284,3.4507042253521125,4.0,0.9916789118216112,1.0,5.0,5.0,1,5
ingestion_webrtc-reliable-ordered,1,1,run1,187,0.1336898395721925,0.0,1.0916539538224603,0.0,0.0,2.259999999999877,0,11
ingestion_webrtc-reliable-ordered,1,1,run2,284,0.943661971830986,1.0,0.5219513250165743,0.0,2.0,2.0,0,2
ingestion_webrtc-reliable-ordered,1,1,run3,256,0.1328125,0.0,0.3400367627183862,0.0,1.0,1.0,0,1
ingestion_webrtc-unreliable-unordered,1,1,run1,284,0.5950704225352113,1.0,0.4988789502848127,1.0,1.0,1.0,0,2
ingestion_webrtc-unreliable-unordered,1,1,run2,263,0.0570342205323193,0.0,0.2323501461749894,0.0,1.0,1.0,0,1
ingestion_webrtc-unreliable-unordered,1,1,run3,282,0.6418439716312057,1.0,0.4876636184400128,1.0,1.0,1.0,0,2
ingestion_websocket,1,1,run1,283,0.9646643109540636,1.0,1.135573468880513,0.0,1.0,8.0,0,13
ingestion_websocket,1,1,run2,280,0.1928571428571428,0.0,0.3952482740717308,0.0,1.0,1.0,0,1
ingestion_websocket,1,1,run3,283,0.5936395759717314,1.0,0.4991785849821525,1.0,1.0,1.0,0,2
ingestion_http-post-long-polling,100,1,run1,26813,0.1501883414761496,0.0,0.4734559201367428,0.0,1.0,1.0,0,36
ingestion_http-post-long-polling,100,1,run2,19501,0.0419978462642941,0.0,0.2120236759771137,0.0,0.0,1.0,0,5
ingestion_http-post-long-polling,100,1,run3,19918,0.0349934732402851,0.0,0.2088335821592912,0.0,0.0,1.0,0,7
ingestion_webrtc-reliable-ordered,100,1,run1,28395,0.3614016552209896,0.0,0.6846945719320484,1.0,1.0,1.0,0,14
ingestion_webrtc-reliable-ordered,100,1,run2,28398,0.5059159095710966,0.0,0.5176909098368376,1.0,1.0,1.0,0,6
ingestion_webrtc-reliable-ordered,100,1,run3,16748,0.0223907332218772,0.0,0.1725476863620478,0.0,0.0,1.0,0,8
ingestion_webrtc-unreliable-unordered,100,1,run1,28398,0.6116980069018945,1.0,0.6268738903976957,1.0,1.0,2.0,0,40
ingestion_webrtc-unreliable-unordered,100,1,run2,18379,0.0210566407312693,0.0,0.1524014393562906,0.0,0.0,1.0,0,6
ingestion_webrtc-unreliable-unordered,100,1,run3,9913,0.012105316251387,0.0,0.1379207415779385,0.0,0.0,0.0,0,4
ingestion_websocket,100,1,run1,18238,0.0369558065577365,0.0,0.4460897836784307,0.0,0.0,1.0,0,30
ingestion_websocket,100,1,run2,28399,0.9595056163949436,1.0,0.4027089523173978,0.0,2.0,2.0,0,6
ingestion_websocket,100,1,run3,28027,0.2441930995111856,0.0,0.4406040900156209,0.0,1.0,1.0,0,3
ingestion_http-post-long-polling,500,1,run1,142000,0.9227464788732396,1.0,1.926794465255461,1.0,1.0,5.0,0,194
ingestion_http-post-long-polling,500,1,run2,139773,0.2097615419286986,0.0,0.5066947374277269,0.0,1.0,2.0,0,33
ingestion_http-post-long-polling,500,1,run3,89115,0.0504965494024575,0.0,0.2979827881519284,0.0,0.0,1.0,0,16
ingestion_webrtc-reliable-ordered,500,1,run1,141736,0.9124992944629452,0.0,3.7449999038003834,1.0,2.0,12.0,0,108
ingestion_webrtc-reliable-ordered,500,1,run2,68481,1.198463807479447,0.0,4.7975663101088255,1.0,3.0,28.0,0,84
ingestion_webrtc-reliable-ordered,500,1,run3,108229,2.512856997662364,0.0,7.495016490868684,2.0,10.0,43.0,0,122
ingestion_webrtc-unreliable-unordered,500,1,run1,137984,2.227337952226345,1.0,8.714728797630622,1.0,7.0,51.0,0,133
ingestion_webrtc-unreliable-unordered,500,1,run2,95381,1.3676413541481007,0.0,5.7992109862702526,1.0,4.0,32.19999999999709,0,91
ingestion_webrtc-unreliable-unordered,500,1,run3,88324,1.7946650966894615,0.0,5.825102485119513,2.0,6.0,21.0,0,95
ingestion_websocket,500,1,run1_ws500_retry5,141997,0.5153559582244696,0.0,1.4983482608280043,1.0,1.0,2.0,0,205
ingestion_websocket,500,1,run2,100499,0.0446173593767102,0.0,0.2618357100721477,0.0,0.0,1.0,0,18
ingestion_websocket,500,1,run3,101610,0.0549847455959059,0.0,0.2751720783970319,0.0,0.0,1.0,0,13
