test_label,scenario_clients,hz,run_id,count,mean,median,std,iqr,p95,p99,min,max
ingestion_http-post-long-polling,1,1,run1,283,0.3851590106007067,0.0,0.5293434574098028,1.0,1.0,2.0,0,2
ingestion_http-post-long-polling,1,1,run2,128,0.53125,1.0,0.5009832851188789,1.0,1.0,1.0,0,1
ingestion_http-post-long-polling,1,1,run3,284,0.3908450704225352,0.0,0.5030514560474344,1.0,1.0,1.0,0,2
ingestion_webrtc-reliable-ordered,1,1,run1,187,0.5347593582887701,0.0,1.3922289396054284,1.0,1.0,10.0,0,12
ingestion_webrtc-reliable-ordered,1,1,run2,284,0.4366197183098591,0.0,0.5508078068018306,1.0,1.0,2.0,0,2
ingestion_webrtc-reliable-ordered,1,1,run3,256,0.3203125,0.0,0.4839963336435433,1.0,1.0,1.0,0,2
ingestion_webrtc-unreliable-unordered,1,1,run1,284,0.4929577464788732,0.0,0.5078393067292198,1.0,1.0,1.0,0,2
ingestion_webrtc-unreliable-unordered,1,1,run2,263,0.1711026615969581,0.0,0.3773166620574441,0.0,1.0,1.0,0,1
ingestion_webrtc-unreliable-unordered,1,1,run3,282,0.4397163120567376,0.0,0.504341215432076,1.0,1.0,1.0,0,2
ingestion_websocket,1,1,run1,283,0.5371024734982333,0.0,1.5069112931723332,1.0,1.0,8.0,0,13
ingestion_websocket,1,1,run2,280,0.275,0.0,0.4473137665383963,1.0,1.0,1.0,0,1
ingestion_websocket,1,1,run3,283,0.4770318021201413,0.0,0.5073946339762331,1.0,1.0,1.0,0,2
ingestion_http-post-long-polling,100,1,run1,26813,0.3028381755118786,0.0,0.643393132011828,1.0,1.0,2.0,0,36
ingestion_http-post-long-polling,100,1,run2,19501,0.3271627096046356,0.0,0.4903531910108095,1.0,1.0,1.0,0,6
ingestion_http-post-long-polling,100,1,run3,19918,0.32628777989758,0.0,0.4983507326684687,1.0,1.0,1.0,0,8
ingestion_webrtc-reliable-ordered,100,1,run1,28395,0.4815988730410283,0.0,0.8268648927494645,1.0,1.0,2.0,0,14
ingestion_webrtc-reliable-ordered,100,1,run2,28398,0.4697161771955772,0.0,0.5143110207370941,1.0,1.0,1.0,0,6
ingestion_webrtc-reliable-ordered,100,1,run3,16748,0.4166467637926916,0.0,0.5202439636434498,1.0,1.0,1.0,0,8
ingestion_webrtc-unreliable-unordered,100,1,run1,28398,0.4704908796394112,0.0,0.7072629254833093,1.0,1.0,1.0,0,40
ingestion_webrtc-unreliable-unordered,100,1,run2,18379,0.3620980466837151,0.0,0.4942391765721498,1.0,1.0,1.0,0,6
ingestion_webrtc-unreliable-unordered,100,1,run3,9913,0.615857964289317,1.0,0.5061353924730957,1.0,1.0,1.0,0,5
ingestion_websocket,100,1,run1,18238,0.3750959535036736,0.0,0.7384566549113327,1.0,1.0,1.0,0,30
ingestion_websocket,100,1,run2,28399,0.2702559949293989,0.0,0.4636511249004065,1.0,1.0,1.0,0,5
ingestion_websocket,100,1,run3,28027,0.3294323331073607,0.0,0.4766491751607188,1.0,1.0,1.0,0,3
ingestion_http-post-long-polling,500,1,run1,142000,0.7256267605633803,0.0,2.6227633302798448,1.0,1.0,10.0,0,193
ingestion_http-post-long-polling,500,1,run2,139773,0.3509476079071065,0.0,0.629138941010136,1.0,1.0,2.0,0,33
ingestion_http-post-long-polling,500,1,run3,89115,0.4400381529484374,0.0,0.5887029616324447,1.0,1.0,2.0,0,16
ingestion_webrtc-reliable-ordered,500,1,run1,141736,1.3671403172094598,1.0,5.110204082458224,1.0,4.0,17.0,0,108
ingestion_webrtc-reliable-ordered,500,1,run2,68481,2.179538850192024,1.0,5.877703158492049,2.0,6.0,35.0,0,84
ingestion_webrtc-reliable-ordered,500,1,run3,108229,3.406961165676482,1.0,8.944507643316777,3.0,13.0,50.0,0,121
ingestion_webrtc-unreliable-unordered,500,1,run1,137984,3.3317920918367347,1.0,11.663500148163946,2.0,10.0,71.0,0,132
ingestion_webrtc-unreliable-unordered,500,1,run2,95381,2.294440192491167,1.0,7.540347153991318,1.0,5.0,46.0,0,92
ingestion_webrtc-unreliable-unordered,500,1,run3,88324,2.599304832208686,1.0,7.361503111360187,2.0,8.0,50.0,0,95
ingestion_websocket,500,1,run1_ws500_retry5,141997,0.4839327591427988,0.0,2.0399586406933574,1.0,1.0,2.0,0,205
ingestion_websocket,500,1,run2,100499,0.3350779609747361,0.0,0.5307444601927275,1.0,1.0,2.0,0,19
ingestion_websocket,500,1,run3,101610,0.3427320145654955,0.0,0.5312370209420069,1.0,1.0,2.0,0,14
