test_label,scenario_clients,hz,run_id,count,mean,median,std,iqr,p95,p99,min,max
visualization_http-post-long-polling,1,1,run2,545,39.11559633027523,39.0,14.071881996555632,18.0,60.0,72.55999999999995,4,88
visualization_http-post-long-polling,1,1,run3,1268,44.06703470031546,44.0,13.634167757020494,18.0,66.0,75.65999999999985,7,95
visualization_webrtc-reliable-ordered,1,1,run1,187,21.22994652406417,21.0,4.852176265682649,7.0,28.0,29.0,12,44
visualization_webrtc-reliable-ordered,1,1,run3,13,15.538461538461538,15.0,0.8770580193070293,1.0,17.0,17.0,14,17
visualization_webrtc-unreliable-unordered,1,1,run1,283,21.12720848056537,21.0,4.613202028952099,8.0,28.0,29.180000000000007,12,30
visualization_webrtc-unreliable-unordered,1,1,run2,264,18.560606060606062,19.0,5.308372862279185,9.25,26.0,28.0,9,28
visualization_webrtc-unreliable-unordered,1,1,run3,78,12.35897435897436,11.0,3.372826318676576,2.0,19.0,19.0,9,19
visualization_websocket,1,1,run1,282,85.63829787234043,85.0,5.504804237238203,9.0,94.0,96.51999999999998,77,110
visualization_http-post-long-polling,100,1,run1,66372,81.1559091183029,80.0,25.2423860690343,37.0,125.0,142.0,19,218
visualization_http-post-long-polling,100,1,run2,105912,41.9572475262482,41.0,11.59333188812822,16.0,62.0,70.0,17,96
visualization_http-post-long-polling,100,1,run3,86920,44.498205246203405,44.0,12.75242969932004,19.0,68.0,75.0,5,112
visualization_webrtc-reliable-ordered,100,1,run1,28396,38.745492322862376,38.0,6.755232293505945,9.0,49.0,59.0,18,103
visualization_webrtc-reliable-ordered,100,1,run2,530,30.513207547169813,31.0,2.1610084581247238,2.0,33.0,34.0,16,36
visualization_webrtc-unreliable-unordered,100,1,run1,28322,35.121742814772965,35.0,6.79151833237218,9.0,46.0,56.0,16,87
visualization_webrtc-unreliable-unordered,100,1,run2,221,29.27149321266968,30.0,2.669448706483163,3.0,32.0,35.80000000000001,20,39
visualization_webrtc-unreliable-unordered,100,1,run3,2,28.0,28.0,0.0,0.0,28.0,28.0,28,28
visualization_websocket,100,1,run1,18238,35.232097817743174,35.0,6.439082437448754,8.0,45.0,55.0,17,92
visualization_websocket,100,1,run2,32,29.59375,30.0,1.456008130959218,1.0,31.45,34.07000000000001,27,35
visualization_websocket,100,1,run3,315,30.27936507936508,30.0,1.446955812820272,1.0,32.0,32.0,20,35
visualization_http-post-long-polling,500,1,run1,23000,16857.11660869565,16275.0,2229.821903387134,1732.0,22495.15,24197.0,13194,24561
visualization_http-post-long-polling,500,1,run2,284125,254.5084487461505,115.0,311.0070901557674,219.0,941.0,1453.0,15,2024
visualization_http-post-long-polling,500,1,run3,144416,70.36292377575892,65.0,33.53407272370597,45.0,133.0,170.0,6,299
visualization_webrtc-reliable-ordered,500,1,run1,15773,97386.89875103024,96487.0,52331.88847327125,90311.0,179314.4,186784.0,7020,188329
visualization_webrtc-reliable-ordered,500,1,run2,14476,31.052915169936448,29.0,10.26184127337049,4.0,49.0,77.0,13,149
visualization_webrtc-reliable-ordered,500,1,run3,4258,37.81963363081259,34.0,13.316933877217089,11.0,62.0,98.43000000000028,8,181
visualization_webrtc-unreliable-unordered,500,1,run1,14658,107027.5170555328,107777.0,55664.25806945866,96637.75,192574.15,200292.0,7427,202190
visualization_webrtc-unreliable-unordered,500,1,run2,17910,35.623506420993856,33.0,12.909708698963632,9.0,58.0,92.0,6,144
visualization_webrtc-unreliable-unordered,500,1,run3,4230,36.75200945626477,35.0,15.234766107472812,14.0,58.0,102.71000000000004,8,120
visualization_websocket,500,1,run1_ws500_retry5,9,167.88888888888889,185.0,49.66247185864908,12.0,196.4,197.68,38,198
visualization_websocket,500,1,run2,7611,28.53370122191565,29.0,3.418703015332061,2.0,32.0,34.0,14,107
visualization_websocket,500,1,run3,456,27.390350877192983,27.5,4.626373878236603,7.0,34.0,37.0,10,39
