test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
visualization_http-post-long-polling,http-post,,long-polling,1,1,run2,network_ingestion_ms,545,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,1,1,run3,network_ingestion_ms,1268,3.4897476340694005,4.0,0.997576668801186,1,5,5.0,5.0,1.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run1,network_ingestion_ms,66372,0.15016874585668655,0.0,0.4863982611464122,0,36,1.0,1.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run2,network_ingestion_ms,105912,0.04085467180300627,0.0,0.2098998636570503,0,5,0.0,1.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run3,network_ingestion_ms,86920,0.038518177634606535,0.0,0.2192184061498979,0,7,0.0,1.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run1,network_ingestion_ms,23000,1.0803913043478262,1.0,2.232928886206475,0,83,2.0,11.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run2,network_ingestion_ms,284125,0.20843290805103387,0.0,0.5082674282074789,0,33,1.0,2.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run3,network_ingestion_ms,144416,0.05423914247728784,0.0,0.3095290372266257,0,16,0.0,1.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run1,network_ingestion_ms,187,0.13368983957219252,0.0,1.0916539538224603,0,11,0.0,2.259999999999877,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run3,network_ingestion_ms,13,0.07692307692307693,0.0,0.2773500981126146,0,1,0.3999999999999986,0.879999999999999,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run1,network_ingestion_ms,28396,0.3614593604733061,0.0,0.6847515625252525,0,14,1.0,1.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run2,network_ingestion_ms,530,0.560377358490566,1.0,0.5263706107888925,0,2,1.0,2.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run1,network_ingestion_ms,15773,1.1519685538578583,1.0,3.80646042536179,0,54,3.0,20.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run2,network_ingestion_ms,14476,2.4584830063553467,0.0,7.486720763581043,0,73,17.0,41.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run3,network_ingestion_ms,4258,5.678957256928135,3.0,9.545781709968143,0,89,19.0,57.0,5.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run1,network_ingestion_ms,283,0.5971731448763251,1.0,0.49850036996045766,0,2,1.0,1.0,1.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run2,network_ingestion_ms,264,0.056818181818181816,0.0,0.23193455934865723,0,1,1.0,1.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run3,network_ingestion_ms,78,0.5897435897435898,1.0,0.4950638798056723,0,1,1.0,1.0,1.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run1,network_ingestion_ms,28322,0.6106560271167291,1.0,0.6273911994974798,0,40,1.0,2.0,1.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run2,network_ingestion_ms,221,0.07692307692307693,0.0,0.45573271518764996,0,6,1.0,1.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run3,network_ingestion_ms,2,0.5,0.5,0.7071067811865476,0,1,0.95,0.99,0.5
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run1,network_ingestion_ms,14658,3.181470869149952,0.0,11.14015755219761,0,127,11.0,57.43000000000029,2.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run2,network_ingestion_ms,17910,3.746175321049693,1.0,10.328238830419293,0,91,22.0,57.0,3.0
